curie,label,retrieved_at
CHEBI:29073,L-ascorbic acid,2025-12-17T23:56:37.619326
CHEBI:18248,iron atom,2025-12-17T23:56:37.619336
CHEBI:33234,vitamin E,2025-12-17T23:56:37.619339
CHEBI:15956,biotin,2025-12-17T23:56:37.619342
CHEBI:176839,vitamin B3,2025-12-17T23:56:37.619344
CHEBI:7916,pantothenic acid,2025-12-17T23:56:37.619347
CHEBI:67011,folates,2025-12-17T23:56:37.619350
CHEBI:30411,cobalamin,2025-12-17T23:56:37.619354
CHEBI:17015,riboflavin,2025-12-17T23:56:37.619357
CHEBI:28088,genistein,2025-12-17T23:56:37.619359
CHEBI:38757,isoflavones,2025-12-17T23:56:37.619361
CHEBI:27881,resveratrol,2025-12-17T23:56:37.619364
CHEBI:27693,sitosterol,2025-12-17T23:56:37.619366
CHEBI:25036,lignan,2025-12-17T23:56:37.619368
CHEBI:47807,sulforaphane,2025-12-17T23:56:37.619370
CHEBI:24814,indole-3-methanol,2025-12-17T23:56:37.619372
CHEBI:28411,allicin,2025-12-17T23:56:37.619375
CHEBI:23044,carotenoid,2025-12-17T23:56:37.619377
CHEBI:28838,lutein,2025-12-17T23:56:37.619379
CHEBI:28966,chlorophyll,2025-12-17T23:56:37.619381
CHEBI:3962,curcumin,2025-12-17T23:56:37.619384
CHEBI:47916,flavonoid,2025-12-17T23:56:37.619386
