curie,label,retrieved_at
FOODON:00004387,kiwifruit,2025-12-17T23:56:32.860144
FOODON:00003443,strawberry,2025-12-17T23:56:32.860155
FOODON:03315106,orange,2025-12-17T23:56:32.860157
FOODON:00002191,red bell pepper food product,2025-12-17T23:56:32.860160
FOODON:00001666,broccoli food product,2025-12-17T23:56:32.860163
FOODON:00002479,orange (whole or pieces),2025-12-17T23:56:32.860165
FOODON:00001001,orange juice (liquid),2025-12-17T23:56:32.860167
FOODON:00001040,chicken meat food product,2025-12-17T23:56:32.860170
FOODON:00002320,tuna food product,2025-12-17T23:56:32.860172
FOODON:02020913,beef liver,2025-12-17T23:56:32.860175
FOODON:00002050,mushroom (whole or pieces),2025-12-17T23:56:32.860177
FOODON:00003600,avocado,2025-12-17T23:56:32.860179
FOODON:02020157,chicken egg yolk,2025-12-17T23:56:32.860182
FOODON:00001997,lentil food product,2025-12-17T23:56:32.860184
FOODON:00001274,egg food product,2025-12-17T23:56:32.860186
FOODON:00001620,asparagus vegetable food product,2025-12-17T23:56:32.860189
FOODON:00002269,spinach food product,2025-12-17T23:56:32.860191
FOODON:03301415,soybean,2025-12-17T23:56:32.860194
FOODON:00004697,tofu,2025-12-17T23:56:32.860196
FOODON:03304999,tempeh,2025-12-17T23:56:32.860198
FOODON:00003208,miso,2025-12-17T23:56:32.860200
FOODON:00001687,carrot food product,2025-12-17T23:56:32.860202
FOODON:00001164,tomato food product,2025-12-17T23:56:32.860205
FOODON:00002323,turmeric food product,2025-12-17T23:56:32.860207
