curie,label,retrieved_at
HP:0001058,Poor wound healing,2026-04-06T14:11:50.848926
HP:0000225,Gingival bleeding,2026-04-06T14:11:50.848940
HP:0012378,Fatigue,2026-04-06T14:11:50.848943
HP:0000967,Petechiae,2026-04-06T14:11:50.848945
HP:0000978,Bruising susceptibility,2026-04-06T14:11:50.848948
HP:0002829,Arthralgia,2026-04-06T14:11:50.848950
HP:0001892,Abnormal bleeding,2026-04-06T14:11:50.848954
HP:0001596,Alopecia,2026-04-06T14:11:50.848958
HP:0000964,Eczematoid dermatitis,2026-04-06T14:11:50.848961
HP:0000716,Depression,2026-04-06T14:11:50.848963
HP:0001251,Ataxia,2026-04-06T14:11:50.848965
HP:0001250,Seizure,2026-04-06T14:11:50.848968
HP:0002014,Diarrhea,2026-04-06T14:11:50.848970
HP:0000726,Dementia,2026-04-06T14:11:50.848972
HP:0003401,Paresthesia,2026-04-06T14:11:50.848974
HP:0002315,Headache,2026-04-06T14:11:50.848977
HP:0100785,Insomnia,2026-04-06T14:11:50.848979
HP:0001889,Megaloblastic anemia,2026-04-06T14:11:50.848981
HP:0001324,Muscle weakness,2026-04-06T14:11:50.848984
HP:0031217,Hot flashes,2026-04-06T14:11:50.848986
HP:0003198,Myopathy,2026-04-06T14:11:50.848988
HP:0000100,Nephrotic syndrome,2026-04-06T14:11:50.848990
HP:0001510,Growth delay,2026-04-06T14:11:50.848992
HP:0002719,Recurrent infections,2026-04-06T14:11:50.848995
HP:0001638,Cardiomyopathy,2026-04-06T14:11:50.848997
HP:0001985,Hypoketotic hypoglycemia,2026-04-06T14:11:50.848999
HP:0002240,Hepatomegaly,2026-04-06T14:11:50.849002
HP:0200134,Epileptic encephalopathy,2026-04-06T14:11:50.849004
HP:0001942,Metabolic acidosis,2026-04-06T14:11:50.849006
HP:0002901,Hypocalcemia,2026-04-06T14:11:50.849008
HP:0000939,Osteoporosis,2026-04-06T14:11:50.849011
HP:0001903,Anemia,2026-04-06T14:11:50.849013
HP:0001875,Decreased total neutrophil count,2026-04-06T14:11:50.849015
HP:0000670,Carious teeth,2026-04-06T14:11:50.849017
HP:0000853,Goiter,2026-04-06T14:11:50.849020
HP:0000821,Hypothyroidism,2026-04-06T14:11:50.849022
HP:0001249,Intellectual disability,2026-04-06T14:11:50.849024
HP:0001891,Iron deficiency anemia,2026-04-06T14:11:50.849026
HP:0100543,Cognitive impairment,2026-04-06T14:11:50.849031
HP:0002900,Hypokalemia,2026-04-06T14:11:50.849034
HP:0003394,Muscle spasm,2026-04-06T14:11:50.849036
HP:0004904,Maturity-onset diabetes of the young,2026-04-06T14:11:50.849038
HP:0000924,Abnormality of the skeletal system,2026-04-06T14:11:50.849041
HP:0001083,Ectopia lentis,2026-04-06T14:11:50.849043
HP:0002748,Rickets,2026-04-06T14:11:50.849045
HP:0002749,Osteomalacia,2026-04-06T14:11:50.849048
HP:0011675,Arrhythmia,2026-04-06T14:11:50.849050
HP:0002019,Constipation,2026-04-06T14:11:50.849052
HP:0001644,Dilated cardiomyopathy,2026-04-06T14:11:50.849054
HP:0005743,Avascular necrosis of the capital femoral epiphysis,2026-04-06T14:11:50.849056
HP:0002181,Cerebral edema,2026-04-06T14:11:50.849059
HP:0002028,Chronic diarrhea,2026-04-06T14:11:50.849061
HP:0001397,Hepatic steatosis,2026-04-06T14:11:50.849064
HP:0030318,Angular cheilitis,2026-04-06T14:11:50.849066
