curie,label,retrieved_at
MONDO:0004995,cardiovascular disorder,2026-04-03T18:02:41.855298
MONDO:0005148,type 2 diabetes mellitus,2026-04-03T18:02:41.855305
MONDO:0004992,cancer,2026-04-03T18:02:41.855308
MONDO:0004975,Alzheimer disease,2026-04-03T18:02:41.855310
MONDO:0001134,essential hypertension,2026-04-03T18:02:41.855313
MONDO:0005010,coronary artery disorder,2026-04-03T18:02:41.855315
MONDO:0005098,stroke disorder,2026-04-03T18:02:41.855318
MONDO:0009665,biotinidase deficiency,2026-04-03T18:02:41.855320
MONDO:0005301,multiple sclerosis,2026-04-03T18:02:41.855322
MONDO:0002898,skin cancer,2026-04-03T18:02:41.855325
MONDO:0005147,type 1 diabetes mellitus,2026-04-03T18:02:41.855327
MONDO:1060134,atherosclerotic cardiovascular disease,2026-04-03T18:02:41.855329
MONDO:0009319,pantothenate kinase-associated neurodegeneration,2026-04-03T18:02:41.855332
MONDO:0007739,Huntington disease,2026-04-03T18:02:41.855334
MONDO:0018075,neural tube defect,2026-04-03T18:02:41.855337
MONDO:0005575,colorectal cancer,2026-04-03T18:02:41.855339
MONDO:0001627,dementia,2026-04-03T18:02:41.855341
MONDO:0007254,breast cancer,2026-04-03T18:02:41.855343
MONDO:0008315,prostate cancer,2026-04-03T18:02:41.855346
MONDO:0005298,osteoporosis,2026-04-03T18:02:41.855348
MONDO:0005150,age-related macular degeneration,2026-04-03T18:02:41.855350
MONDO:0008903,lung cancer,2026-04-03T18:02:41.855353
MONDO:0007256,hepatocellular carcinoma,2026-04-03T18:02:41.855355
MONDO:0008383,rheumatoid arthritis,2026-04-03T18:02:41.855357
MONDO:0005101,ulcerative colitis,2026-04-03T18:02:41.855359
MONDO:0005009,congestive heart failure,2026-04-03T18:02:41.855362
MONDO:0005336,myopathy,2026-04-03T18:02:41.855364
MONDO:0015559,lymphoadenopathic mastocytosis with eosinophilia,2026-04-03T18:02:41.855366
MONDO:0018151,coenzyme Q10 deficiency,2026-04-03T18:02:41.855369
MONDO:0002261,keratopathy,2026-04-03T18:02:41.855371
MONDO:0005252,heart failure,2026-04-03T18:02:41.855373
MONDO:0005068,myocardial infarction,2026-04-03T18:02:41.855376
MONDO:0005294,peripheral vascular disease,2026-04-03T18:02:41.855378
